srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
200088201010645,271.090850906506,-24.2739026768603,QSO,0.592,,,STAR,1.0,,,6.139311822928618,-1.25951033140721,J180421.80-241626.0,271.0908535,-24.2739026,0.1096,0.1026,167.7,10.586,10.429,9.59,2.882,12.561,11.67,11.176,0.048,0.065,,0.052,0.022,0.022,0.019,2708024301351030451,hdDD,1,30nn,AAUA,-29,91,443,96,0.334,0.008361
200673403010012,271.91698228691,-31.238679932181,STAR,0.411,,,STAR,0.999,,,0.39512819163113844,-5.2803078198176365,J180740.08-311419.2,271.9170052,-31.2386708,0.0543,0.0529,81.5,11.246,11.293,11.407,8.045,12.17,11.453,11.358,0.027,0.031,0.207,,0.024,0.022,0.023,2717031901351059837,0000,1,01nn,AABU,68,58,-47,59,0.443,0.077722
206509101010001,263.86165984042,-25.528683926911,GALAXY,0.372,,,STAR,1.0,,,1.6941193641600525,3.7223846594624885,J173526.79-253143.3,263.8616462,-25.5287039,0.0388,0.0369,88.8,9.036,8.996,8.961,8.246,11.017,9.819,9.411,0.023,0.021,0.04,0.292,0.026,0.024,0.023,2633025801351047657,0000,0,000n,AAAB,-104,43,0,41,0.111,0.084588
207641901010003,266.34417524063,-28.291183824034,QSO,0.441,,,STAR,1.0,,,0.5226218198795274,0.38175534928196675,J174522.59-281728.2,266.3441527,-28.291171,0.1443,0.1318,173.5,9.974,10.23,8.39,6.067,10.899,10.056,9.848,0.057,0.071,0.295,0.348,0.023,0.025,0.025,2657028801351056754,dddd,1,2110,AABB,-106,126,162,141,0.303,0.085072
208016802010079,265.99112504014,-28.097386546976,GALAXY,0.551,,,STAR,1.0,,,0.5252020302260889,0.7483227441872459,J174357.86-280550.6,265.9911141,-28.0973899,0.0809,0.0771,161.0,9.409,9.653,11.02,8.532,13.259,11.137,10.187,0.036,0.043,,,0.047,0.053,0.039,2657028801351059209,0000,1,22nn,AAUU,-109,74,-84,75,0.926,0.036634
203058201010059,273.46035935427,-33.58636149598,QSO,0.421,,,STAR,0.601,,,358.931310411549,-7.537056583536805,J181350.48-333510.9,273.4603537,-33.5863838,0.062,0.0585,112.3,12.669,12.76,12.291,8.643,13.255,12.796,12.74,0.028,0.037,,,0.024,0.022,0.026,2735033401351020451,0h00,0,11nn,AAUU,65,109,237,109,0.175,0.082115
203071101010001,267.98331806946,-29.85388980217,QSO,0.718,,,STAR,1.0,,,359.92204989795374,-1.6513618575866895,J175156.00-295114.0,267.9833372,-29.8539098,0.0496,0.0487,48.5,8.526,8.646,8.687,8.742,9.616,8.911,8.661,0.026,0.026,0.056,,0.024,0.028,0.025,2678030301351046542,hhh0,1,211n,AAAU,76,50,244,49,0.138,0.093447
205539502010011,266.784409539058,-32.2518192003636,STAR,0.546,,,STAR,1.0,,,357.3357148829789,-2.0011400892392004,J174708.26-321506.5,266.7844388,-32.2518273,0.0439,0.0417,115.8,8.745,8.859,8.531,6.972,9.59,9.036,8.867,0.025,0.023,0.063,0.14,0.022,0.025,0.022,2664031901351021428,dd00,0,2111,AAAB,26,39,-163,39,0.089,0.093877
205544401010002,258.83020387275,-33.548415042609,STAR,0.868,,,,,,,352.585836118932,2.8683158469732293,J171519.25-333254.3,258.8302238,-33.5484179,0.0416,0.0391,164.3,5.426,5.198,5.174,4.693,5.655,5.683,5.591,0.123,0.055,0.015,0.032,0.021,0.027,0.018,2591033401351015523,dddd,0,0111,BAAA,631,48,-71,46,0.06,0.060679
206049802010001,268.7090198863,-33.385374890847,STAR,0.951,,,STAR,1.0,,,357.1845007778573,-3.970390119556842,J175450.16-332307.3,268.7090056,-33.3853682,0.0444,0.0429,95.3,9.767,9.655,9.642,8.878,10.744,10.103,9.884,0.026,0.022,0.059,,0.024,0.024,0.021,2681033401351029966,0000,0,000n,AAAU,-31,55,-50,62,1.458,0.049204
