srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,18035245-2421386,270.968561,-24.360737,0.07,0.06,90.0,5.747,5.748,5.731,0.027,0.036,0.024,AAA,111,0,2450891.8955,0.726659
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,18043533-2427303,271.147214,-24.458418,0.06,0.06,17.0,12.945,12.057,11.74,0.045,0.074,0.06,AAA,222,0,2450891.8967,0.498907
200088201010005,270.986655762018,-24.3123702039675,GALAXY,0.553,,,,,,,6.059172462937272,-1.1956395322605817,18035685-2418452,270.986876,-24.312572,0.07,0.06,90.0,7.006,7.053,7.072,0.021,0.044,0.018,AAA,111,0,2450891.8956,1.024606
200088201010006,270.85437749567,-24.400100557514,GALAXY,0.59,,,,,,,5.923518515445311,-1.1338029510231473,18032508-2423591,270.854532,-24.399757,0.09,0.08,90.0,14.305,13.805,12.673,0.026,0.057,,ACU,220,0,2450891.8869,1.336515
200088201010010,271.061047587018,-24.3651807618956,GALAXY,0.77,,,,,,,6.046423963539987,-1.2806140240113866,18041461-2421554,271.060901,-24.365402,0.08,0.08,0.0,10.795,9.938,9.069,0.026,0.038,,AAU,220,0,2450891.8966,0.930284
200088201010019,270.9737006633,-24.442311023015,GALAXY,0.668,,,,,,,5.940156006394553,-1.2491688675969261,18035365-2426325,270.973563,-24.442373,0.12,0.11,88.0,14.809,14.16,13.113,,0.108,,UDU,20,0,2450891.8955,0.503327
200088201010022,270.89833320227,-24.435074747288,GALAXY,0.668,,,,,,,5.9127410644441865,-1.1858512173545646,18033560-2426050,270.898363,-24.434744,0.09,0.08,79.0,16.633,14.303,12.884,,0.081,0.073,UDA,22,0,2450891.887,1.194689
200088201010025,270.89313390416,-24.377342569333,GALAXY,0.645,,,,,,,5.960699006359271,-1.1533486676695155,18033421-2422381,270.892545,-24.377262,0.07,0.06,79.0,15.422,13.936,13.428,0.056,0.087,0.063,DCE,222,2,2450891.8869,1.952708
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,18035006-2421079,270.958621,-24.352205,0.07,0.06,79.0,12.211,11.621,11.41,0.037,0.06,0.061,AAA,222,0,2450891.8955,0.511706
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,18034028-2423200,270.917847,-24.388905,0.07,0.06,90.0,11.536,10.831,10.621,0.029,0.044,0.026,AAA,222,2,2450891.8955,0.386291
200088201010034,270.886319577447,-24.3624731205812,GALAXY,0.744,,,,,,,5.970597930758199,-1.1406333198536853,18033278-2421445,270.886585,-24.362364,0.07,0.06,90.0,13.703,12.516,11.981,0.036,0.033,0.024,AAA,222,2,2450891.8869,0.954975
