srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,4066022655549161984,270.95859303465,-24.35224295142,1007.97516,977.464966,1042.65747,1002.78479,969.014221,1043.297,10033,0.352394
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,4066021044958984320,270.91780756305,-24.38893286439,1281.64233,1237.12292,1321.84253,1270.30457,1236.09851,1300.43835,10033,0.410148
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,4065973834676683648,270.99388328669,-24.41629356537,1290.31201,1239.69006,1364.07544,1280.9458,1207.61243,1358.25818,10033,0.126014
200088201010187,271.02606187361,-24.554069223332,GALAXY,0.642,,,,,,,5.866161984070342,-1.3455423993484,4065968852514234752,271.02601264471,-24.55397545365,7036.81055,4417.4585,10822.2363,4390.90234,3800.18433,6741.06152,10033,0.374084
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,4065971532574154240,271.12856655766,-24.44296406384,1231.98975,1175.55896,1316.24792,1217.19128,1167.76526,1264.79553,10033,0.002612
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,4066069251668212480,271.1371677605,-24.31236832639,1184.59119,1158.33569,1226.23535,1182.40479,1146.96265,1225.14795,10013,0.130656
200088201010334,271.119152599711,-24.3156600851429,QSO,0.653,,,STAR,1.0,,,6.115560493113846,-1.3024665387440812,4066069904503243264,271.11920309529,-24.3157607471,1242.19153,1207.76282,1275.21704,1236.92542,1204.83765,1274.68652,10033,0.398452
200088201010340,271.12141981116,-24.3647198920234,QSO,0.591,,,,,,,6.073801458014336,-1.3283167550650654,4065974998592210688,271.12141818888,-24.36464555905,1209.77173,1174.6665,1250.79163,1204.45544,1166.75354,1255.09814,10033,0.267652
200088201010386,271.060245550072,-24.3267896148571,QSO,0.728,,,STAR,1.0,,,6.079527618876294,-1.2611435028103788,4065976274218115840,271.06024661584,-24.32690131932,1221.65613,1184.41833,1245.85425,1222.96008,1193.07581,1253.01904,10033,0.402151
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,4066117836341878144,271.12028725121,-24.2340478636,1261.08203,1183.38586,1392.96729,1259.1825,1191.82446,1337.46863,10033,0.228187
200088201010428,271.10423334312,-24.4624748851459,QSO,0.499,,,,,,,5.980901528282971,-1.3625996198686696,4065971115929904384,271.10425976866,-24.46258062938,1315.49878,1266.81873,1352.93481,1301.08704,1262.66675,1345.51929,10033,0.390403
200088201010432,270.848863047133,-24.2572778019265,GALAXY,0.964,,,,,,,6.045421400923483,-1.05917910776723,4066027332791489536,270.84879169367,-24.25717096074,1399.79041,1346.59045,1462.38342,1369.32739,1328.51294,1444.23889,10033,0.450317
200088201010437,271.140003451121,-24.3652609292521,GALAXY,0.493,,,,,,,6.081629359968671,-1.3433375491673754,4066068770631144448,271.13986444693,-24.3652470408,1092.9054,1059.32739,1120.55725,1088.3717,1057.60303,1119.87634,10033,0.458579
200088201010519,270.916042305458,-24.3235029453946,STAR,0.558,,,,,,,6.017855776579553,-1.1450601198524084,4066023690659180800,270.91610213385,-24.32362097226,1160.29895,1120.64893,1194.00146,1159.27405,1124.01929,1188.51819,10033,0.468035
200088201010539,271.032506867286,-24.3574838299797,QSO,0.452,,,,,,,6.040372396710528,-1.254182713774797,4065976132453586176,271.03248771942,-24.35738371646,1150.76404,1081.17163,1233.92249,1115.0188,1060.56726,1176.25952,10033,0.365839
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,4066118557895979392,270.99772933436,-24.2065653175,1169.61938,1130.4115,1216.83813,1170.51318,1133.63086,1214.70178,10033,0.210153
200088201010598,271.150413158196,-24.3335974663407,QSO,0.428,,,,,,,6.113886481172936,-1.3360875034550788,4066068972470309760,271.15056373804,-24.33358486722,1270.48047,1221.86072,1316.39319,1254.9458,1206.56372,1305.36511,10033,0.496008
200088201010633,271.183514400907,-24.3275500223448,QSO,0.593,,,STAR,1.0,,,6.13394090944978,-1.3594181374821221,4066069320387674624,271.18348067464,-24.32767790118,1241.20288,1178.64172,1300.17371,1244.80249,1181.91528,1304.83972,10033,0.473471
200088201010645,271.090850906506,-24.2739026768603,QSO,0.592,,,STAR,1.0,,,6.139311822928618,-1.25951033140721,4066070351179851008,271.09096849568,-24.27391074623,1242.33838,1180.68896,1302.73572,1248.43091,1189.67725,1303.97925,10033,0.386987
200088201010648,271.098918243674,-24.2974299478909,QSO,0.612,,,,,,,6.122409525974863,-1.2774562988371725,4066069973222724480,271.0989547569,-24.29753986564,1313.17029,1203.81262,1425.36389,1298.35168,1200.30688,1422.76501,10033,0.413442
200088201010681,271.069150118811,-24.2940531808055,QSO,0.377,,,,,,,6.1120430808059725,-1.2521557134436034,4066070213740164096,271.0692307823,-24.29409256724,1209.79932,1166.60327,1265.24451,1223.58972,1159.09265,1288.21655,10033,0.300261
200088201010689,271.042089867186,-24.4430799494618,STAR,0.555,,,,,,,5.970055071040177,-1.3037891115434987,4065974281353253504,271.04196597525,-24.44300196717,1194.99524,1130.49158,1263.76758,1172.66248,1116.87512,1230.29736,10033,0.493638
200088201010719,270.995192434296,-24.2564291795413,GALAXY,0.546,,,,,,,6.111737417295047,-1.1749500450482282,4066024412205097728,270.99522975558,-24.2565296486,1814.07751,926.805542,4285.771,6107.17676,4503.21143,8213.87988,10033,0.381869
200088201010732,271.07830254243,-24.256404688287,QSO,0.501,,,,,,,6.148952375949953,-1.2409590063130282,4066117320930732288,271.07816131861,-24.25642113543,5273.22217,3114.80811,7455.25537,5144.521,3331.72803,10148.1904,10033,0.467288
200088201015027,270.937781590525,-24.3680989451713,QSO,0.646,,,,,,,5.988742082133757,-1.1842242319816094,4066021182400931072,270.93790714295,-24.36815575623,1117.41699,1073.00061,1161.32056,1115.68506,1069.69165,1153.81494,10033,0.459721
