srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,G006.0036-01.3947,271.14723,-24.458407,0.3,0.3,90.0,11.474,11.514,11.496,11.922,0.056,0.056,0.079,0.236,C,7.229,0.376,4.455,0.2308,2.9,0.2115,1.092,0.2369,00100040,00100000,00000000,00000400,0.487891
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,G006.0118-01.1929,270.958628,-24.352253,0.3,0.3,90.0,11.377,11.136,,,0.075,0.194,,,C,7.9,0.5433,6.312,1.128,,,,,00000200,00080480,,,0.431067
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,G005.9617-01.1786,270.917862,-24.388845,0.3,0.3,90.0,10.461,10.419,,,0.079,0.138,,,C,18.38,1.338,12.22,1.558,,,,,00000140,00000540,,,0.312956
200088201010044,270.83675305373,-24.334797356706,GALAXY,0.735,,,,,,,5.972487514134908,-1.0877031575172087,G005.9724-01.0876,270.836683,-24.334768,0.3,0.3,90.0,12.845,12.51,,,0.086,0.156,,,C,2.044,0.162,1.781,0.2564,,,,,00000200,00000000,,,0.252736
200088201010069,271.122565667541,-24.3843950321938,QSO,0.613,,,,,,,6.057159438474497,-1.3388710764388532,G006.0571-01.3390,271.122698,-24.384505,0.3,0.3,90.0,11.13,11.201,11.19,,0.051,0.062,0.091,,C,9.922,0.4619,5.944,0.3383,3.844,0.3233,,,00004240,00004200,00000000,,0.587609
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,G005.9718-01.2524,270.993905,-24.416284,0.3,0.3,90.0,10.363,10.028,9.551,8.876,0.035,0.058,0.053,0.051,C,20.1,0.6501,17.52,0.9396,17.39,0.8413,18.06,0.8548,00000200,00000000,00000000,00000400,0.203247
200088201010187,271.02606187361,-24.554069223332,GALAXY,0.642,,,,,,,5.866161984070342,-1.3455423993484,G005.8662-01.3454,271.026062,-24.553972,0.3,0.3,90.0,10.578,10.704,10.562,10.731,0.066,0.059,0.086,0.109,C,16.5,1.008,9.4,0.509,6.851,0.5437,3.271,0.3282,00000000,00000200,00000200,00000400,0.349983
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,G006.0089-01.3723,271.128651,-24.442837,0.3,0.3,90.0,10.549,10.389,10.419,10.676,0.071,0.079,0.062,0.112,C,16.94,1.112,12.56,0.9106,7.818,0.4479,3.44,0.355,00100640,00000400,00000200,00008200,0.531887
200088201010204,271.0233653874,-24.580659416193,GALAXY,0.723,,,,,,,5.841783399110215,-1.356454204838523,G005.8417-01.3565,271.023458,-24.580788,0.3,0.3,90.0,14.049,,,,0.143,,,,A,0.6744,0.08858,,,,,,,00000000,,,,0.553412
200088201010248,271.107709574573,-24.3998240392833,QSO,0.763,,,,,,,6.037073328017579,-1.334642111582266,G006.0370-01.3344,271.10755,-24.399786,0.3,0.3,90.0,12.059,11.871,11.803,,0.05,0.074,0.25,,C,4.218,0.1932,3.206,0.2193,2.186,0.5027,,,00000140,00000440,00000400,,0.541089
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,G006.1264-01.3151,271.137171,-24.31235,0.3,0.3,90.0,9.858,9.82,9.695,9.523,0.04,0.044,0.062,0.04,C,32.0,1.191,21.21,0.8609,15.23,0.8742,9.954,0.3685,00000000,00000000,00000000,00008400,0.069013
200088201010264,270.90542439836,-24.477385009019,GALAXY,0.671,,,,,,,5.879059806000428,-1.2122689073741872,G005.8792-01.2122,270.905467,-24.477227,0.3,0.3,90.0,14.028,,,,0.114,,,,A,0.6877,0.07225,,,,,,,00000240,,,,0.58583
200088201010299,270.761146503892,-24.402560498942,GALAXY,0.703,,,,,,,5.879587202825419,-1.0611027009956226,G005.8795-01.0609,270.760976,-24.402526,0.3,0.3,90.0,10.782,10.806,10.643,10.659,0.034,0.053,0.05,0.054,C,13.67,0.4307,8.557,0.4162,6.361,0.293,3.497,0.1732,00000200,00000000,00000200,00000000,0.57235
200088201010334,271.119152599711,-24.3156600851429,QSO,0.653,,,STAR,1.0,,,6.115560493113846,-1.3024665387440812,G006.1155-01.3025,271.119211,-24.315758,0.3,0.3,90.0,11.336,11.355,11.389,,0.09,0.065,0.158,,C,8.207,0.6771,5.157,0.3111,3.199,0.4641,,,00000240,00000240,00000200,,0.401099
200088201010340,271.12141981116,-24.3647198920234,QSO,0.591,,,,,,,6.073801458014336,-1.3283167550650654,G006.0738-01.3283,271.121463,-24.364642,0.3,0.3,90.0,11.319,11.371,11.36,11.075,0.071,0.055,0.108,0.213,C,8.338,0.5466,5.085,0.2588,3.287,0.3263,2.382,0.4673,00000340,00100600,00008400,00008200,0.314162
200088201010381,271.02851766413,-24.526136299279,GALAXY,0.677,,,,,,,5.891603598238897,-1.3337815789640188,G005.8916-01.3338,271.028577,-24.526121,0.3,0.3,90.0,13.793,13.958,,,0.096,0.285,,,C,0.8537,0.0757,0.4693,0.1233,,,,,00000200,00000200,,,0.202251
200088201010386,271.060245550072,-24.3267896148571,QSO,0.728,,,STAR,1.0,,,6.079527618876294,-1.2611435028103788,G006.0793-01.2612,271.06023,-24.326935,0.3,0.3,90.0,10.781,10.696,10.531,10.257,0.051,0.064,0.084,0.133,C,13.69,0.645,9.469,0.5602,7.049,0.5439,5.061,0.6184,00000200,00000000,00000400,00008400,0.526051
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,G006.1872-01.2633,271.120288,-24.234034,0.3,0.3,90.0,8.806,8.502,7.691,6.655,0.038,0.034,0.036,0.024,C,84.39,2.945,71.42,2.255,96.49,3.205,139.6,3.088,00000040,00000000,00000000,00008000,0.188857
200088201010428,271.10423334312,-24.4624748851459,QSO,0.499,,,,,,,5.980901528282971,-1.3625996198686696,G005.9808-01.3626,271.10427,-24.462598,0.3,0.3,90.0,10.103,10.05,9.882,9.683,0.034,0.041,0.049,0.089,C,25.56,0.7953,17.16,0.6418,12.82,0.5781,8.585,0.703,00000200,00000200,00000000,00000000,0.459069
200088201010432,270.848863047133,-24.2572778019265,GALAXY,0.964,,,,,,,6.045421400923483,-1.05917910776723,G006.0454-01.0590,270.848815,-24.257184,0.3,0.3,90.0,11.429,11.45,11.263,11.472,0.039,0.063,0.06,0.104,C,7.532,0.2681,4.726,0.2725,3.592,0.1976,1.653,0.158,00000000,00000000,00000601,00000400,0.372651
