srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,515461239635,270.993899,-24.416276,VVV J180358.53-242458.59,0,-1,13.509,0.002,4112,12.901,0.002,4112,12.123,0.001,4112,11.554,0.002,69648,11.086,0.002,69648,0.193462
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,515461094037,271.128595,-24.442902,VVV J180430.86-242634.44,0,-1,14.023,0.002,4112,12.991,0.002,4112,11.911,0.001,4112,11.103,0.002,69648,,,0,0.239565
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,515440735254,271.137182,-24.312341,VVV J180432.92-241844.42,0,-1,10.454,0.001,65552,11.061,0.001,16,10.047,0.001,65552,9.937,0.001,65552,9.833,0.001,65552,0.069745
200088201010268,271.07621024929,-24.470048086834,GALAXY,0.962,,,,,,,5.961788537197003,-1.344083519447988,515461179747,271.076136,-24.470024,VVV J180418.27-242812.08,0,-1,19.379,0.121,4096,18.331,0.091,4096,16.878,0.051,4112,15.796,0.061,4112,15.263,0.075,4112,0.259444
200088201010381,271.02851766413,-24.526136299279,GALAXY,0.677,,,,,,,5.891603598238897,-1.3337815789640188,515461654119,271.028587,-24.526121,VVV J180406.86-243134.03,0,-1,19.529,0.138,4096,17.944,0.064,4096,16.365,0.032,4096,14.976,0.029,4096,14.343,0.032,4096,0.232382
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,515441074055,271.120294,-24.234045,VVV J180428.87-241402.56,0,-1,11.259,0.001,65552,10.823,0.001,65552,10.517,0.001,65552,10.194,0.001,65552,9.761,0.001,65552,0.233203
200088201010447,270.85846885771,-24.554226656192,GALAXY,0.732,,,,,,,5.791122495776467,-1.2128432351993061,515462392238,270.858451,-24.554242,VVV J180326.02-243315.27,0,-1,,,0,,,0,,,0,17.844,0.395,4096,16.76,0.297,4096,0.081016
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,515440794659,270.997748,-24.206548,VVV J180359.45-241223.57,0,-1,13.794,0.002,16,13.48,0.002,16,13.13,0.002,16,12.562,0.003,16,12.323,0.005,16,0.141556
200088201010681,271.069150118811,-24.2940531808055,QSO,0.377,,,,,,,6.1120430808059725,-1.2521557134436034,515440881190,271.069236,-24.294072,VVV J180416.61-241738.65,0,-1,14.014,0.002,16,13.669,0.002,16,13.176,0.002,16,12.627,0.003,16,12.395,0.005,16,0.289793
200509401010027,270.664731586978,-30.0094428137857,QSO,0.491,,,STAR,0.889,,,0.9495958728934328,-3.741924897505495,515551790335,270.664684,-30.009508,VVV J180239.52-300034.22,515396075624,-1,14.665,0.009,16,14.285,0.008,16,13.721,0.007,16,13.088,0.007,0,12.885,0.008,0,0.276063
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,515551247565,270.849572,-30.045281,VVV J180323.89-300243.01,0,1,13.238,0.003,16,13.102,0.003,16,12.818,0.003,16,12.546,0.004,0,12.455,0.005,16,0.197385
