srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,4066022591147527552,270.96852348568,-24.36074015548,1218.36621,1110.24524,1318.68481,1200.40088,1100.21716,1299.75171,10011,0.66034
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,4065970703614639872,271.14723870292,-24.45841896646,2344.85229,1754.8418,3767.39282,1913.4342,1437.02808,4607.76758,10033,0.539534
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,4066022655549161984,270.95859303465,-24.35224295142,1007.97516,977.464966,1042.65747,1002.78479,969.014221,1043.297,10033,0.352394
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,4066021044958984320,270.91780756305,-24.38893286439,1281.64233,1237.12292,1321.84253,1270.30457,1236.09851,1300.43835,10033,0.410148
200088201010069,271.122565667541,-24.3843950321938,QSO,0.613,,,,,,,6.057159438474497,-1.3388710764388532,4065974899811938432,271.12269953197,-24.38451126387,1011.92108,965.132812,1067.82068,1013.92883,968.51593,1055.28015,10033,0.606416
200088201010093,271.01396762904,-24.567182783721,GALAXY,0.731,,,,,,,5.849333224542231,-1.3423937967739639,4065968710757949440,271.01379285377,-24.56713555601,4568.87012,2947.83276,7201.80029,3931.47656,3071.58765,5479.81055,10033,0.596957
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,4065973834676683648,270.99388328669,-24.41629356537,1290.31201,1239.69006,1364.07544,1280.9458,1207.61243,1358.25818,10033,0.126014
200088201010187,271.02606187361,-24.554069223332,GALAXY,0.642,,,,,,,5.866161984070342,-1.3455423993484,4065968852514234752,271.02601264471,-24.55397545365,7036.81055,4417.4585,10822.2363,4390.90234,3800.18433,6741.06152,10033,0.374084
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,4065971532574154240,271.12856655766,-24.44296406384,1231.98975,1175.55896,1316.24792,1217.19128,1167.76526,1264.79553,10033,0.002612
200088201010204,271.0233653874,-24.580659416193,GALAXY,0.723,,,,,,,5.841783399110215,-1.356454204838523,4065967959143097600,271.02344629374,-24.58080466148,5248.80176,2841.77954,8418.31934,2628.04346,1944.77527,3211.13452,10033,0.586141
