srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,G006.1264-01.3151,271.137171,-24.31235,0.3,0.3,90.0,9.858,9.82,9.695,9.523,0.04,0.044,0.062,0.04,C,32.0,1.191,21.21,0.8609,15.23,0.8742,9.954,0.3685,00000000,00000000,00000000,00008400,0.069013
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,G000.0699-02.2290,268.644427,-30.019379,0.3,0.3,90.0,9.202,9.224,9.165,9.12,0.031,0.031,0.032,0.019,C,58.56,1.659,36.73,1.058,24.82,0.7295,14.42,0.253,00000040,00000000,00000000,00008000,0.037186
201129701010003,267.391975666713,-28.1036762549095,STAR,0.863,,,STAR,1.0,,,1.1611422047183166,-0.31121898866106773,G001.1611-00.3112,267.391952,-28.10368,0.3,0.3,90.0,10.711,10.637,10.507,10.652,0.021,0.048,0.032,0.049,C,14.59,0.2886,9.995,0.4422,7.209,0.215,3.519,0.1585,00004340,00004200,00008201,00008600,0.076246
201129702010015,266.823699612125,-27.977240442997,QSO,0.484,,,STAR,1.0,,,1.0106147815915303,0.18365367965514598,G001.0105+00.1836,266.823696,-27.977265,0.3,0.3,90.0,11.721,11.567,11.636,11.609,0.051,0.059,0.085,0.174,C,5.758,0.2729,4.243,0.2315,2.548,0.1998,1.458,0.2339,00000540,00004400,00000600,00002200,0.089192
201359601010122,267.88416933285,-26.772540091675,GALAXY,0.662,,,,,,,2.5280931643815716,-0.0043172291951395145,G002.5280-00.0043,267.884157,-26.772557,0.3,0.3,90.0,12.842,12.743,,,0.108,0.16,,,C,2.05,0.2038,1.437,0.2113,,,,,00000600,00000400,,,0.072801
201458402010003,272.731912914001,-21.2072162185883,QSO,0.511,,,,,,,9.55561070390877,-1.0915995254882136,G009.5556-01.0916,272.731925,-21.207215,0.3,0.3,90.0,10.536,10.406,10.455,10.317,0.037,0.082,0.044,0.073,C,17.14,0.5825,12.37,0.9313,7.562,0.3048,4.788,0.3226,00000000,00000000,00008000,00000000,0.040854
201458402010007,272.744957522199,-21.2177782204726,QSO,0.716,,,STAR,1.0,,,9.552213237926567,-1.1073444190324804,G009.5522-01.1073,272.744966,-21.217752,0.3,0.3,90.0,10.74,10.83,10.668,10.755,0.055,0.103,0.064,0.122,C,14.21,0.7156,8.369,0.7913,6.217,0.3676,3.199,0.3606,00004000,00000000,00000000,00000000,0.098687
201458402010036,272.57817778335,-21.272149722424,GALAXY,0.654,,,,,,,9.429607368327686,-0.9973790359056748,G009.4296-00.9973,272.57819,-21.272162,0.3,0.3,90.0,11.831,11.822,11.742,11.723,0.057,0.071,0.165,0.263,C,5.203,0.2745,3.354,0.2186,2.312,0.3515,1.312,0.3178,00000140,000840c0,00000400,00008400,0.060374
202039301010114,267.01587617882,-28.4606439562,GALAXY,0.504,,,STAR,1.0,,,0.6845382991426967,-0.21134988348301179,G000.6845-00.2113,267.015896,-28.460636,0.3,0.3,90.0,11.055,10.591,10.168,10.336,0.055,0.055,0.039,0.061,C,10.63,0.5374,10.42,0.5323,9.847,0.3544,4.706,0.2642,00100540,00100400,00100200,00008200,0.069169
202052401010033,267.05791242389,-28.296469159701,QSO,0.585,,,,,,,0.8442208270732037,-0.15821815831713948,G000.8442-00.1582,267.057901,-28.296484,0.3,0.3,90.0,13.307,12.812,,,0.06,0.133,,,C,1.336,0.07446,1.349,0.165,,,,,00100340,00000200,,,0.06469
