   l               b                  Area
   294.7323753    -2.2483630          0.0000
   294.7119228    -2.1673128          0.0000
   294.7371426    -2.2497369          0.0000
   294.8234138    -2.2448961          0.0000
   294.9092172    -2.2350080          0.0000
   295.0494621    -2.1338704          0.0000
   295.0947478    -2.2023050          0.0000
   295.1285321    -2.1775727         26.4191
   295.1817056    -2.2342510          0.0000
   294.8990969    -1.1400825          0.0000
   295.2061764    -2.0864881          0.0000
   295.2753384    -2.2392440          0.0000
   295.3129179    -2.1659394          0.0000
   295.1451674    -1.3389408          0.0000
   295.0783426    -1.0904480          0.0000
   295.4174523    -2.1657812          0.0000
   295.1502575    -1.0906979          0.0000
   295.4566210    -1.9723592          0.0000
   295.4864020    -1.9710711         33.0081
   295.5692916    -2.2530722          0.0000
   295.4955163    -1.9734308         31.9721
   295.4144006    -1.4476974          0.0000
   295.5590305    -1.9601387          0.0000
   295.6389027    -2.2011703          0.0000
   295.3722183    -1.1236068          0.0000
   295.5095390    -1.4599013          0.0000
   295.6438841    -1.9589432          0.0000
   295.4263909    -1.0813448          0.0000
   295.8130406    -1.9784417          0.0000
   295.8431353    -1.9201981          0.0000
   295.9504484    -2.2391044          0.0000
   295.9510171    -2.1993345         30.0121
   295.9522787    -2.1667203          0.0000
   296.0784665    -2.2331908          0.0000
   295.8675728    -1.3388391          0.0000
   295.9583097    -1.1866466          0.0000
   296.0743848    -1.5828671          0.0000
   296.1369810    -1.5144073          0.0000
   296.0754016    -1.2346095          0.0000
   296.2572610    -2.1551071          0.0000
   296.2774988    -2.1147435          0.0000
   296.2407995    -1.9336383          0.0000
   296.2690865    -1.9215431          0.0000
   296.3518424    -2.0741408         40.8826
   296.3728991    -2.0259251          0.0000
   296.2266748    -1.3415618          0.0000
   296.4756335    -2.1566726          0.0000
   296.4493131    -1.9120955          0.0000
   296.4404888    -1.8425034          0.0000
   296.4649561    -1.4954165          0.0000
   296.6288118    -2.1254142          0.0000
   296.6766953    -2.1446059          0.0000
   296.5509780    -1.4924488          0.0000
   296.5019249    -1.1773947          0.0000
   296.7584069    -1.3547276          0.0000
   296.9758336    -2.2133895          0.0000
   296.9773778    -2.0044658          0.0000
   296.8924135    -1.3052160          0.0000
   297.1064053    -2.0628277          0.0000
   297.3025977    -2.2023258          0.0000
   297.3141298    -2.2352843          0.0000
   297.4457729    -2.1203132          0.0000
   297.4149604    -1.9648630          0.0000
   297.5011625    -2.2368933          0.0000
   297.4772744    -1.9958944          0.0000
   297.4600503    -1.7732215          0.0000
   297.4590242    -1.7630775          0.0000
   297.5588474    -2.1387121         42.1175
   297.6197312    -2.1178391          0.0000
   297.5015227    -1.4495630          0.0000
   297.6493033    -2.2437420          0.0000
   297.8135644    -1.9712025          0.0000
   297.9407121    -1.7208027          0.0000
   297.8781030    -1.1294736         10.1563
   297.8813391    -1.1389419          8.2000
   297.8916463    -1.1820107          0.0000
   298.0740485    -1.9799057          0.0000
   297.9492877    -1.1639244         34.7109
   298.1319361    -2.0799502          0.0000
   298.1169056    -1.9617866          0.0000
   298.0052230    -1.1460695          9.7955
   298.0091203    -1.1609310         36.4660
   298.0095544    -1.0792456          0.0000
   298.0592279    -1.1588766          0.0000
   298.2275133    -1.8172257          0.0000
   298.2974603    -2.1156440          0.0000
   298.2081660    -1.5230625          0.0000
   298.1871104    -1.3859012          0.0000
   298.1489110    -1.1158368          0.0000
   298.2938512    -1.8692382          0.0000
   298.3657866    -1.9500482          0.0000
   298.3762999    -1.9066994         21.8986
   298.4397468    -2.1925717          0.0000
   298.3913335    -1.8728928          0.0000
   298.3639107    -1.4745027          0.0000
   298.3915005    -1.3515209          0.0000
   298.5685877    -2.1577379          0.0000
   298.5200530    -1.7334327          0.0000
   298.4898488    -1.4247902          0.0000
   298.6190386    -2.1889354          0.0000
   298.6297716    -2.1891997          0.0000
   298.5465453    -1.5364652          0.0000
   298.6544083    -2.0695727         37.1820
   298.6503485    -2.0021386          0.0000
   298.6649135    -2.0163825         15.4130
   298.5458429    -1.0609676          0.0000
   298.6665997    -1.7182206          0.0000
   298.6270175    -1.4488946          0.0000
   298.6571698    -1.6040140          0.0000
   298.7492633    -2.0857332         21.6985
   298.7567379    -2.1262391         17.5704
   298.7473550    -1.9524792         37.1153
   298.7778175    -2.1257902          8.8670
   298.7852850    -2.1530166          0.0000
   298.7434117    -1.8504988          0.0000
   298.6573429    -1.2738494          0.0000
   298.7382063    -1.6953411         41.5648
   298.8107414    -2.0331705         27.8996
   298.8493090    -2.2186796          0.0000
   298.7397271    -1.4567657          0.0000
   298.8592718    -2.2282365          0.0000
   298.8108579    -1.9005683         14.1379
   298.8648207    -2.2338562          0.0000
   298.8600049    -2.1794586         17.2533
   298.8612955    -2.0773357          8.9888
   298.8673303    -2.1104584         14.8630
   298.8302075    -1.8468880          0.0000
   298.8418712    -1.9185019         15.2059
   298.8105997    -1.6586519          0.0000
   298.7981028    -1.5068500         39.1140
   298.8579678    -1.9031695         22.7049
   298.8811114    -2.0571927         13.3620
   298.9421452    -2.1348670         40.5203
   298.8563059    -1.5445384         13.0447
   298.9226070    -1.9892594         30.7791
   298.8648301    -1.5329936         29.8411
   298.9408583    -2.0503830         16.2680
   298.8082311    -1.1397931          0.0000
   298.8821416    -1.5906792         10.5457
   298.8857209    -1.5919062         31.9357
   298.9572068    -2.0760836         22.4903
   298.8723762    -1.3930872          0.0000
   298.8671356    -1.2676729          0.0000
   298.9060784    -1.3570828         19.1731
   298.9914603    -1.9142385         41.3032
   298.9166281    -1.3379209         31.3414
   298.9040536    -1.2174770         20.2187
   298.9783505    -1.6984669          0.0000
   299.0040795    -1.8425989          0.0000
   298.9313520    -1.2338075         27.1740
   299.0003350    -1.6751656         43.0992
   299.0838506    -2.1003635         32.0832
   298.9566116    -1.1222517         22.9908
   299.0233983    -1.4635637          0.0000
   299.0471803    -1.5790132          0.0000
   298.9973685    -1.1421731         13.4253
   299.0597472    -1.5513625         42.6212
   299.0696031    -1.2734514         42.0425
   299.0847388    -1.2212532         22.3788
   299.0772615    -2.2342599          0.0000
   299.1204087    -2.2111424          0.0000
   299.0959015    -2.0252622         24.4379
   299.1058556    -1.9598315          0.0000
   299.1299693    -2.1229765         10.6765
   299.1325006    -2.1175347         13.4027
   299.1323335    -2.0248119          0.0000
   299.1930885    -2.1521286         31.8955
   299.0799940    -1.2534333          9.4095
   299.2128977    -2.2181504          0.0000
   299.1802143    -1.7257984          0.0000
   299.1513776    -1.3724615          0.0000
   299.2787178    -2.2121852          0.0000
   299.1410111    -1.1497724         21.6595
   299.1579594    -1.2448835         23.6224
   299.1388621    -1.0711498          6.7555
   299.1385939    -1.0603699         13.3808
   299.2942373    -2.1495070          0.0000
   299.1985300    -1.4142292          0.0000
   299.1826703    -1.2256803         27.1477
   299.2392309    -1.5323232          0.0000
   299.2825111    -1.3252218          0.0000
   299.2890975    -1.1805537         27.3023
   299.2992830    -1.1423576          7.3950
   299.3750647    -1.7264757          0.0000
   299.3750027    -1.4051048          0.0000
   299.3701839    -1.3378957         39.4792
   299.4883738    -2.1753770          0.0000
   299.4447674    -1.7821569         11.8771
   299.4477159    -1.8017520          0.0000
   299.3791554    -1.2153380         41.2283
   299.3791473    -1.1079775         33.4947
   299.3766813    -1.0620868         12.6155
   299.4714515    -1.7485427         42.5750
   299.4756079    -1.7154303          0.0000
   299.4839515    -1.2561440          0.0000
   299.5849751    -2.0399911          0.0000
   299.5235773    -1.5050542          0.0000
   299.5858959    -1.9640474          0.0000
   299.5440757    -1.6031833          0.0000
   299.6031036    -2.0550040         27.0203
   299.6592995    -2.1598816          0.0000
   299.6831255    -2.0702965          0.0000
   299.6560831    -1.5377809          0.0000
   299.7256060    -1.9910594          0.0000
   299.6464834    -1.0657223          0.0000
   299.7086770    -1.5235679          0.0000
   299.6952003    -1.3798640          0.0000
   299.8074950    -2.2213345          0.0000
   299.7703820    -1.8540568          0.0000
   299.7334429    -1.2610717          0.0000
   299.7218383    -1.0946673          0.0000
   299.7994311    -1.7123908          0.0000
   299.8662840    -2.1828125         31.9593
   299.8080629    -1.6202802          0.0000
   299.8313034    -1.6960704          9.4456
   299.8084192    -1.4460430          0.0000
   299.8379931    -1.7040257          0.0000
   299.8910853    -2.0813272          0.0000
   299.9225673    -2.2147375          0.0000
   299.8659208    -1.5497716          0.0000
   299.9129018    -1.6326296          0.0000
   299.9952925    -2.0793205          0.0000
   299.9284200    -1.1694752          0.0000
   300.0253167    -1.9218929          0.0000
   300.0009362    -1.4012194          0.0000
   300.0869613    -1.9732236         33.4522
   300.0512308    -1.5450532          0.0000
   300.0522848    -1.5427926          0.0000
   300.0841204    -1.7493155          0.0000
   300.0604190    -1.4251673          0.0000
   300.1136890    -1.8256039         35.6541
   300.1405693    -2.0603988         25.6613
   300.1548760    -2.1376055          0.0000
   300.1457018    -1.9854207         14.5741
   300.1277535    -1.7384083         32.2680
   300.1689502    -2.0420340         15.3124
   300.1588410    -1.8013824         16.3157
   300.1831329    -1.9360098         28.2926
   300.1868533    -1.9552248         25.6635
   300.1167324    -1.1722735          0.0000
   300.2085822    -1.8390307          0.0000
   300.2026464    -1.7259557          0.0000
   300.2405798    -2.0652826          0.0000
   300.2322015    -1.3163642          0.0000
   300.2275454    -1.0660852         20.5090
   300.3468578    -2.0400780          0.0000
   300.3409431    -1.7060204          0.0000
   300.3576242    -1.5634488          0.0000
   300.3658989    -1.6013177         39.4320
   300.4129619    -1.9550729          0.0000
   300.4463107    -2.2165814          0.0000
   300.3638741    -1.1519834         37.6128
   300.4753180    -2.2418450          0.0000
   300.4609607    -1.9089859          0.0000
   300.4672666    -1.6665379         35.8957
   300.5233118    -2.2508230          0.0000
   300.4276847    -1.1465291          0.0000
   300.4601488    -1.2997558          0.0000
   300.4533494    -1.2078378         22.3097
   300.4651897    -1.2173483         20.3701
   300.5183355    -1.7498137         35.3148
   300.5114348    -1.6252815         28.7259
   300.5521462    -1.6918264         18.0495
   300.5315699    -1.3888650         36.3590
   300.5347255    -1.3892769         25.2066
   300.5413910    -1.7164214         14.1426
   300.5543807    -1.8059360         34.5549
   300.5471829    -1.6192345         14.2980
   300.6009057    -2.2236769          0.0000
   300.5585172    -1.6568734         24.7780
   300.5484374    -1.4670011          0.0000
   300.5490776    -1.2500551          0.0000
   300.5491581    -1.0530893         18.2188
   300.5505766    -1.0675714         39.3321
   300.6177225    -1.8309715          0.0000
   300.6006358    -1.5708783          0.0000
   300.5994264    -1.4657222         19.5075
   300.6733158    -2.1874211          0.0000
   300.6502096    -1.8062851          0.0000
   300.6363508    -1.4872525         16.2421
   300.6383423    -1.5084607          0.0000
   300.7224521    -2.1849672          0.0000
   300.7223139    -2.0771748          0.0000
   300.6595593    -1.1741431         36.5854
   300.6842689    -1.3893348          0.0000
   300.7534941    -2.0689697         15.5307
   300.6934285    -1.2162643          0.0000
   300.6837903    -1.0920674         22.6611
   300.7664226    -2.0647810          0.0000
   300.6963866    -1.0815188          4.9753
   300.6978633    -1.0542077          0.0000
   300.7238355    -1.0678476         10.3648
   300.7647513    -1.4202461          0.0000
   300.8775532    -2.2362942          0.0000
   300.8418884    -1.7303812          0.0000
   300.8155208    -1.0483172         19.3005
   300.8335479    -1.2561119          0.0000
   300.9090453    -2.2413280          0.0000
   300.8975940    -1.7624020          0.0000
