#     N_members     l_clu           b_clu             max_radius       Prob              id_clu
           6        298.88124       -1.5736893        9.4203776        35.468011          151 
          24        298.89714       -2.0516311        18.796141        4.8519667          167 
           9        300.14583       -1.9241899        11.208263        26.680969          239 
           9        300.51295       -1.6814698        10.075110        26.680969          270 
          13        301.16817       -1.8864649        16.295303        18.118522          335 
          21        302.24520       -1.9189182        19.220238        7.2023886          397 
          39        303.58066       -1.9382839        20.456511       0.37814381          508 
          14        305.19954       -2.0105228        12.025222        16.324387          606 
           8        305.44232       -1.7423463        6.4382498        30.264192          618 
          12        305.98076       -1.9956657        13.174112        20.299961          670 
          22        306.62251       -1.9334083        26.783140        6.2798624          717 
           9        308.14253       -1.7930833        8.0565441        26.680969          771 
           9        308.46125       -2.1265954        9.4856192        26.680969          809 
           5        309.06946       -1.6866606        7.8233765        35.182208          844 
           6        309.09494       -1.3149909        9.1523289        35.468011          845 
          50        309.31903       -2.0462823        38.038179      0.045731813          911 
           5        311.58817       -1.9824188        6.6098795        35.182208          970 
           5        314.10932       -2.0328293        6.5514617        35.182208         1065 
           5        316.50393       -1.2335621        6.4035353        35.182208         1186 
           5        316.89559       -1.5044271        3.7808057        35.182208         1206 
           5        317.85520       -1.8480927        4.1802014        35.182208         1279 
          18        319.36013       -2.1047721        9.9845929        10.023202         1375 
          16        319.31236       -1.4674596        15.419625        13.160968         1377 
           6        319.93850       -1.9404691        2.6411718        35.468011         1417 
           7        320.13248       -1.5582823        7.0468160        34.532976         1419 
           6        320.96809       -2.0810711        5.9307250        35.468011         1480 
          16        321.52261       -1.9311560        21.189735        13.160968         1537 
           5        325.41089       -1.8825518        8.9812599        35.182208         1686 
          91        326.29099       -1.7713475        49.208085    2.9394540e-05         1850 
           6        297.93310       -1.1324462        5.7876297        35.468011         2208 
           7        297.81500      -0.70037681        4.3607112        34.532976         2217 
           9        297.80225      -0.17646080        11.638532        26.680969         2226 
           9        298.39920       -1.0385650        10.465633        26.680969         2249 
          15        298.51237      -0.69031839        13.009923        15.498655         2266 
          63        299.20170       -1.0543232        28.273756     0.0047091765         2332 
          20        300.48611       -1.0860660        19.879881        8.2973094         2357 
           5        304.70228      -0.30139650        2.7984339        35.182208         2397 
          13        305.73379       -1.1918385        18.456650        18.118522         2413 
           6        306.19477      -0.71636120        10.970695        35.468011         2439 
          10        306.94455       -1.0113102        12.745990        25.419636         2467 
          17        315.97642       -1.2672679        12.359306        11.730238         2508 
          23        317.76862       -1.1144875        20.788252        5.5035784         2531 
          14        322.29691       -1.1945177        11.889261        16.324387         2561 
           5        306.09107       0.86069066        6.9569151        35.182208         2973 
          10        306.47717        1.0671145        8.7282842        25.419636         2991 
           5        311.65237        1.0013942        3.6283740        35.182208         3082 
          10        294.96668        2.0502484        12.160145        25.419636         3291 
          14        295.81253        1.6722030        25.269926        16.324387         3358 
          66        295.54830        1.0914549        44.489702     0.0033838781         3361 
          11        296.21823        1.8773039        9.4372296        23.559233         3403 
           8        297.60949        2.0086300        5.2418173        30.264192         3463 
          18        298.07262        1.1233366        29.781047        10.023202         3498 
          29        298.66759        1.2901422        19.576546        2.0780260         3542 
          18        299.12307        1.9876583        14.970420        10.023202         3594 
          31        299.25607        1.1397893        21.436942        1.5290770         3610 
          12        300.67189        1.2335142        12.710287        20.299961         3720 
          53        300.25161        1.8781219        31.935128      0.029575405         3727 
           6        301.99140        1.7354278        13.297256        35.468011         3780 
          91        305.15392        1.2350263        50.757251    2.9394540e-05         4004 
          14        305.81055        2.0523783        11.786941        16.324387         4013 
          10        307.37796        1.8800137        12.501235        25.419636         4093 
          13        307.44501        1.1157536        10.541301        18.118522         4104 
          27        307.88846       0.92068123        19.467611        2.8525772         4116 
           5        307.84590        2.0659786        3.9483896        35.182208         4121 
          12        308.62883        1.5223224        14.074620        20.299961         4186 
           5        308.95026        1.8318393        4.4298341        35.182208         4196 
           6        309.72293        1.7574723        4.0810472        35.468011         4242 
           6        310.20331        1.9914897        5.3260593        35.468011         4264 
           9        315.41087        2.0141994        10.814246        26.680969         4466 
           7        315.58446        1.5176507        12.058602        34.532976         4499 
          32        316.06779        1.9880725        24.694201        1.3998846         4544 
          18        317.34185        1.9539508        16.897618        10.023202         4625 
           5        317.26603        1.1240637        7.1118618        35.182208         4630 
           8        319.50678        1.9099855        10.146423        30.264192         4736 
           6        319.47472        1.4537054        4.1527681        35.468011         4741 
           6        320.11394        1.9468145        3.8307254        35.468011         4770 
           5        320.00895        1.6889553        2.7670917        35.182208         4774 
           7        320.67589        1.0589658        8.6340176        34.532976         4819 
          10        320.85702        1.4633529        10.396076        25.419636         4829 
           5        321.44208        2.0746884        7.4236503        35.182208         4844 
           5        339.02752        1.9117366        3.2764182        35.182208         5280 
          11        340.18807        1.8809313        15.282977        23.559233         5333 
           8        347.62355        1.4684064        5.9707907        30.264192         5513 
