#      l               b                 jmag             hmag             kmag              id_obj       id_clu
       298.79810       -1.5068518        15.445191        14.904692        14.530759          130          151 
       298.85631       -1.5445402        14.867636        14.273063        13.819517          134          151 
       298.86483       -1.5329935        15.118227        14.615407        14.693469          136          151 
       298.88214       -1.5906806        15.132988        14.414071        14.054199          139          151 
       298.88572       -1.5919067        15.182809        14.541258        14.085051          140          151 
       299.00033       -1.6751633        15.557371        14.987599        14.625277          151          151 
       298.65441       -2.0695679        16.570886        15.405523        15.033496          103          167 
       298.66491       -2.0163785        16.613385        15.971622        15.362024          105          167 
       298.74926       -2.0857300        16.454497        15.956107        15.534924          110          167 
       298.75674       -2.1262385        17.007838        16.333359        15.450136          111          167 
       298.74736       -1.9524800        15.941936        15.264494        14.710563          112          167 
       298.77782       -2.1257945        15.652818        14.907295        14.468602          113          167 
       298.81074       -2.0331706        15.503041        15.107666        14.590592          118          167 
       298.81086       -1.9005720        17.418670        16.443435        15.781608          122          167 
       298.86001       -2.1794603        15.839547        14.702646        13.980010          124          167 
       298.86129       -2.0773325        16.526943        15.617606        15.424641          125          167 
       298.86733       -2.1104598        15.808483        15.266655        15.147169          126          167 
       298.84187       -1.9185045        16.048323        15.288506        14.947869          128          167 
       298.85797       -1.9031653        15.231304        14.506231        14.104137          131          167 
       298.88111       -2.0571941        15.644004        14.754281        14.294094          132          167 
       298.94214       -2.1348707        15.003597        14.489664        14.493197          133          167 
       298.92261       -1.9892586        15.681149        15.064107        14.661720          135          167 
       298.94086       -2.0503816        15.254000        14.747784        14.396353          137          167 
       298.95721       -2.0760808        16.080679        14.979237        14.895788          141          167 
       298.99146       -1.9142405        15.660992        15.199335        14.913878          145          167 
       299.08385       -2.1003682        16.464041        15.883040        15.406633          152          167 
       299.09590       -2.0252660        16.107732        15.299884        14.810617          162          167 
       299.12997       -2.1229775        16.145247        15.507490        14.988419          164          167 
       299.13250       -2.1175308        16.090094        15.555113        15.207220          165          167 
       299.19309       -2.1521239        15.433041        14.636718        14.053081          167          167 
       300.08696       -1.9732192        16.150675        15.184948        14.503120          226          239 
       300.11369       -1.8256011        16.213846        15.144004        14.931393          231          239 
       300.14057       -2.0603996        15.505901        14.887130        14.316314          232          239 
       300.14570       -1.9854214        15.470351        14.302100        14.118580          234          239 
       300.12775       -1.7384110        15.797487        15.134216        14.436326          235          239 
       300.16895       -2.0420333        16.281546        15.110206        14.669801          236          239 
       300.15884       -1.8013831        16.237951        15.390399        15.029325          237          239 
       300.18313       -1.9360140        15.883705        15.869101        15.443402          238          239 
       300.18685       -1.9552264        15.698822        15.097914        14.266118          239          239 
       300.36590       -1.6013139        13.624997        13.043129        12.687909          249          270 
       300.46726       -1.6665336        15.453425        14.885267        14.682502          255          270 
       300.51834       -1.7498099        15.362493        14.028990        13.558610          261          270 
       300.51143       -1.6252769        16.019615        15.365193        14.828373          262          270 
       300.55215       -1.6918307        15.251930        14.618688        14.207958          263          270 
       300.54139       -1.7164212        16.483566        15.756813        14.819535          266          270 
       300.55438       -1.8059328        15.805807        15.470377        15.170258          267          270 
       300.54718       -1.6192363        16.148478        15.367774        14.817446          268          270 
       300.55852       -1.6568726        15.951908        15.491689        15.183606          270          270 
       300.97638       -1.9827162        15.684934        14.919528        14.473796          304          335 
       301.07749       -1.9379684        16.066883        15.771411        15.577574          313          335 
       301.10287       -1.7577425        15.469781        13.862440        14.247868          315          335 
       301.11822       -1.8240535        15.159222        14.169308        13.816904          316          335 
       301.15314       -1.8839754        17.739998        15.906021        15.402383          317          335 
       301.17235       -1.9842925        15.964893        15.280988        15.051055          318          335 
       301.18211       -2.0570546        15.864974        15.501706        14.897090          319          335 
       301.17423       -1.7154714        14.726466        13.946281        13.810602          323          335 
       301.19325       -1.7161042        13.799489        13.052132        12.625923          324          335 
       301.22373       -2.1518713        16.419836        15.421234        15.164735          325          335 
       301.23904       -1.8248217        16.417100        15.950376        15.293787          329          335 
       301.28642       -1.8408948        15.394210        14.937567        14.435326          334          335 
       301.28698       -1.8470769        16.111327        15.111378        14.448829          335          335 
       302.03252       -1.6807298        16.530372        16.045565        15.081972          360          397 
       302.10045       -2.1377657        15.793537        15.087250        15.151946          362          397 
       302.10540       -2.0712080        16.634165        15.531461        15.162119          363          397 
       302.11290       -2.1786652        15.710256        15.414727        15.263240          365          397 
       302.12265       -2.1529293        16.674771        16.058344        15.633480          366          397 
       302.11791       -1.7649807        16.016879        15.742656        15.487648          367          397 
       302.16034       -2.1582918        16.042462        14.803297        14.427181          369          397 
       302.16564       -1.7092685        16.150154        16.397891        15.111787          370          397 
       302.18146       -1.6096467        15.936995        15.237578        14.575121          372          397 
       302.22679       -1.8588692        15.592739        14.856123        14.401277          377          397 
       302.25122       -1.7796114        16.317170        15.814714        15.478882          379          397 
       302.25884       -2.0731121        14.722364        14.264015        14.018014          380          397 
       302.26408       -2.0627869        16.017639        14.936738        14.924110          381          397 
       302.26047       -1.7909711        15.449932        14.585286        14.310709          382          397 
       302.26389       -1.8999456        16.740614        16.139265        15.667225          383          397 
       302.34932       -1.8838109        16.222060        15.480361        15.013181          385          397 
       302.38563       -1.8869082        16.207291        15.642370        15.297121          387          397 
       302.39671       -1.7619794        16.870357        15.919594        15.457267          388          397 
       302.41775       -1.9505313        15.210867        14.607531        14.425591          390          397 
       302.46111       -1.9393189        17.254086        16.346089        15.280716          394          397 
