ALPHA_J2000   DELTA_J2000   MAG_AUTO_J   MAGERR_AUTO_J   MAG_AUTO_H   MAGERR_AUTO_H   MAG_AUTO_Ks   MAGERR_AUTO_Ks   MAG_PSF_J   MAGERR_PSF_J   MAG_PSF_H   MAGERR_PSF_H   MAG_PSF_Ks   MAGERR_PSF_Ks   MAG_APER_J   MAGERR_APER_J   MAG_APER_H   MAGERR_APER_H   MAG_APER_Ks   MAGERR_APER_Ks   TILE_ID   ra          dec          J_auto_Oct   A_Ks   Separation            
  173.95181     -63.90953     15.10393     0.02459         14.69502     0.02003         14.36044      0.03714          16.02689    0.01926        15.50644    0.01308        15.37644     0.02673         15.88754     0.02050         15.42311     0.01452         15.25834      0.02925          d001      173.9518    -63.909531   15.1         0.82   0.01623656104258466   
  173.96048     -63.82603     15.27615     0.03947         14.42417     0.02512         13.90285      0.03275          16.69380    0.03666        15.71782    0.01741        15.27792     0.02651         16.46867     0.03795         15.51168     0.01775         15.10354      0.0277           d001      173.96047   -63.826031   15.28        0.91   0.016282493654141163  
  173.96128     -63.91222     16.68302     0.07519         16.08256     0.05248         15.29452      0.09122          16.94966    0.03982        16.38896    0.02754        16.12724     0.05124         16.95314     0.04880         16.45001     0.03525         16.16779      0.06508          d001      173.96127   -63.912221   16.68        0.82   0.0162350807832355    
  174.15229     -63.93233     16.19545     0.05959         15.43447     0.03704         14.9791       0.05925          16.84778    0.04078        16.18788    0.02487        15.99279     0.04777         16.63272     0.04230         16.02379     0.02639         15.83095      0.05117          d001      174.15228   -63.932331   16.2         0.88   0.01622401440559266   
  174.3458      -63.94722     15.58916     0.04922         15.20486     0.03798         15.09898      0.07011          16.47424    0.03210        16.03279    0.02247        15.9761      0.04818         16.51535     0.04028         16.0834      0.02852         15.93083      0.05683          d001      174.34579   -63.947221   15.59        0.91   0.016215819530368356  
  174.71623     -63.88938     14.68564     0.06749         14.02571     0.03374         13.85824      0.04364          16.06110    0.06644        15.40369    0.02737        15.22158     0.03992         15.75563     0.06536         15.1819      0.02802         14.9411       0.03916          d001      174.71622   -63.889381   14.69        1.47   0.01624764778149947   
  174.77205     -63.96767     15.76904     0.03877         15.00115     0.02796         14.71061      0.04937          16.28327    0.02385        15.76706    0.01615        15.67359     0.03419         16.21527     0.02679         15.69653     0.0183          15.56124      0.03822          d001      174.77204   -63.967671   15.77        0.82   0.016204563272167     
  174.86151     -63.95321     15.42983     0.02999         14.90266     0.02231         14.59361      0.03967          16.17553    0.02166        15.66944    0.01482        15.53013     0.03006         16.06606     0.02342         15.57842     0.01648         15.36256      0.03208          d001      174.8615    -63.953211   15.43        0.82   0.01621252260578802   
  174.94252     -64.0223      16.38363     0.03796         15.78482     0.03242         15.32695      0.06536          16.97188    0.02652        16.5039     0.022          16.37129     0.05109         16.77799     0.02706         16.29189     0.02239         16.14141      0.05188          d001      174.94251   -64.022301   16.38        0.59   0.016174485827389624  
  175.00406     -62.89259     14.64801     0.02179         14.10025     0.01388         14.08488      0.03191          15.48623    0.01569        14.89114    0.0091         14.91928     0.01992         15.53066     0.01835         14.85091     0.0102          14.84611      0.02221          d001      175.00405   -62.892591   14.65        0.91   0.01679414697280441   
