srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,515461482013,271.147229,-24.458403,VVV J180435.33-242730.25,0,-1,14.6,0.003,4112,13.874,0.003,4112,12.972,0.002,4112,12.183,0.003,4112,,,0,0.47454
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,515461639463,270.958613,-24.352214,VVV J180350.06-242107.97,0,-1,13.378,0.002,4112,12.887,0.002,4112,12.268,0.001,4112,11.513,0.002,69648,11.492,0.003,4112,0.469799
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,515461294109,270.917823,-24.388905,VVV J180340.27-242320.05,0,-1,12.625,0.001,4112,12.12,0.001,4112,11.441,0.001,69648,11.466,0.001,4112,10.562,0.002,69648,0.338319
200088201010031,270.9136323495,-24.435209866081,GALAXY,0.595,,,,,,,5.919470844530013,-1.1980479179359407,515462212505,270.913667,-24.435302,VVV J180339.28-242607.08,0,1,,,0,,,0,18.079,0.152,4096,16.599,0.127,4096,15.353,0.081,4096,0.350372
200088201010044,270.83675305373,-24.334797356706,GALAXY,0.735,,,,,,,5.972487514134908,-1.0877031575172087,515462402758,270.836693,-24.334706,VVV J180320.80-242004.94,0,-1,,,0,,,0,,,0,16.331,0.098,0,14.256,0.03,0,0.382183
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,515461239635,270.993899,-24.416276,VVV J180358.53-242458.59,0,-1,13.509,0.002,4112,12.901,0.002,4112,12.123,0.001,4112,11.554,0.002,69648,11.086,0.002,69648,0.193462
200088201010187,271.02606187361,-24.554069223332,GALAXY,0.642,,,,,,,5.866161984070342,-1.3455423993484,515461656348,271.026027,-24.553969,VVV J180406.24-243314.29,0,-1,17.404,0.021,4224,15.383,0.008,4224,13.268,0.003,4240,11.751,0.002,69648,11.005,0.002,69648,0.376477
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,515461094037,271.128595,-24.442902,VVV J180430.86-242634.44,0,-1,14.023,0.002,4112,12.991,0.002,4112,11.911,0.001,4112,11.103,0.002,69648,,,0,0.239565
200088201010243,271.03193380498,-24.552781890921,GALAXY,0.587,,,,,,,5.869905551559386,-1.3495644015988066,515461655562,271.031957,-24.552897,VVV J180407.66-243310.43,0,-2,19.8,0.169,4224,19.221,0.221,4224,18.043,0.145,4112,17.127,0.205,4096,16.679,0.276,4096,0.422665
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,515440735254,271.137182,-24.312341,VVV J180432.92-241844.42,0,-1,10.454,0.001,65552,11.061,0.001,16,10.047,0.001,65552,9.937,0.001,65552,9.833,0.001,65552,0.069745
200088201010268,271.07621024929,-24.470048086834,GALAXY,0.962,,,,,,,5.961788537197003,-1.344083519447988,515461179747,271.076136,-24.470024,VVV J180418.27-242812.08,0,-1,19.379,0.121,4096,18.331,0.091,4096,16.878,0.051,4112,15.796,0.061,4112,15.263,0.075,4112,0.259444
200088201010334,271.119152599711,-24.3156600851429,QSO,0.653,,,STAR,1.0,,,6.115560493113846,-1.3024665387440812,515440636187,271.119211,-24.315733,VVV J180428.61-241856.63,0,-1,12.671,0.001,0,12.416,0.001,0,12.051,0.001,65536,11.645,0.002,65536,11.429,0.002,16,0.324409
200088201010340,271.12141981116,-24.3647198920234,QSO,0.591,,,,,,,6.073801458014336,-1.3283167550650654,515441057869,271.12143,-24.364605,VVV J180429.14-242152.57,0,-1,13.116,0.002,16,12.79,0.002,16,12.299,0.001,16,11.642,0.002,65552,11.535,0.003,16,0.414657
200088201010381,271.02851766413,-24.526136299279,GALAXY,0.677,,,,,,,5.891603598238897,-1.3337815789640188,515461654119,271.028587,-24.526121,VVV J180406.86-243134.03,0,-1,19.529,0.138,4096,17.944,0.064,4096,16.365,0.032,4096,14.976,0.029,4096,14.343,0.032,4096,0.232382
200088201010386,271.060245550072,-24.3267896148571,QSO,0.728,,,STAR,1.0,,,6.079527618876294,-1.2611435028103788,515440638751,271.060244,-24.326884,VVV J180414.45-241936.78,0,-1,12.554,0.001,16,12.217,0.001,16,11.629,0.001,65552,11.138,0.001,65552,10.855,0.002,65552,0.34147
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,515441074055,271.120294,-24.234045,VVV J180428.87-241402.56,0,-1,11.259,0.001,65552,10.823,0.001,65552,10.517,0.001,65552,10.194,0.001,65552,9.761,0.001,65552,0.233203
200088201010428,271.10423334312,-24.4624748851459,QSO,0.499,,,,,,,5.980901528282971,-1.3625996198686696,515461108245,271.10424,-24.462584,VVV J180425.01-242745.30,0,-1,11.249,0.001,69648,10.963,0.001,69648,10.463,0.001,69648,10.351,0.001,69648,10.131,0.001,69648,0.394625
200088201010432,270.848863047133,-24.2572778019265,GALAXY,0.964,,,,,,,6.045421400923483,-1.05917910776723,515461279135,270.848782,-24.257161,VVV J180323.70-241525.77,515396075563,-1,13.287,0.002,144,12.903,0.002,144,12.367,0.001,144,11.88,0.002,144,11.52,0.003,144,0.499532
200088201010437,271.140003451121,-24.3652609292521,GALAXY,0.493,,,,,,,6.081629359968671,-1.3433375491673754,515440814129,271.139879,-24.365214,VVV J180433.57-242154.76,0,-1,12.673,0.001,16,12.155,0.001,16,11.006,0.001,65552,10.549,0.001,65552,9.58,0.001,65552,0.441668
200088201010447,270.85846885771,-24.554226656192,GALAXY,0.732,,,,,,,5.791122495776467,-1.2128432351993061,515462392238,270.858451,-24.554242,VVV J180326.02-243315.27,0,-1,,,0,,,0,,,0,17.844,0.395,4096,16.76,0.297,4096,0.081016
200088201010455,270.93538267547,-24.320833990358,GALAXY,0.932,,,,,,,6.028842955430713,-1.1590976483194495,515462461567,270.935486,-24.320818,VVV J180344.51-241914.94,0,1,,,0,,,0,,,0,,,0,16.36,0.205,0,0.342921
200088201010457,270.80265902344,-24.39211696937,GALAXY,0.522,,,,,,,5.907293176161249,-1.0888691850466308,515462472326,270.802747,-24.392169,VVV J180312.65-242331.80,0,-1,,,0,,,0,,,0,,,0,16.586,0.252,0,0.344327
200088201010463,270.81632230616,-24.445653735453,GALAXY,0.697,,,,,,,5.866801893643631,-1.1260449031251865,515462056835,270.816278,-24.445549,VVV J180315.90-242643.97,0,1,,,0,,,0,18.113,0.154,0,16.826,0.154,0,16.079,0.158,0,0.404459
200088201010490,271.122146914993,-24.4243880752201,QSO,0.724,,,STAR,1.0,,,6.022104032591655,-1.3581425070355402,515461464893,271.122218,-24.42451,VVV J180429.33-242528.23,0,-1,14.428,0.003,4112,13.59,0.002,4112,12.535,0.002,4112,11.831,0.002,69648,11.561,0.003,4112,0.498574
200088201010502,271.032551523139,-24.3866978761105,QSO,0.537,,,,,,,6.014931827414483,-1.268554673160215,515461295007,271.032632,-24.386802,VVV J180407.83-242312.48,0,-1,14.809,0.004,4112,14.177,0.004,4112,12.694,0.002,4112,11.916,0.002,4112,11.413,0.002,4112,0.45844
200088201010519,270.916042305458,-24.3235029453946,STAR,0.558,,,,,,,6.017855776579553,-1.1450601198524084,515460943264,270.916107,-24.323603,VVV J180339.86-241924.97,0,-1,13.382,0.002,16,12.957,0.002,16,12.429,0.002,16,11.959,0.002,16,11.675,0.003,16,0.419054
200088201010527,271.159113027259,-24.3461389433934,QSO,0.682,,,STAR,1.0,,,6.106835926506269,-1.349142638163565,515440597579,271.159152,-24.346255,VVV J180438.19-242046.51,0,-1,13.3,0.002,16,12.85,0.002,16,12.264,0.001,16,11.383,0.001,65552,11.313,0.002,16,0.436347
200088201010539,271.032506867286,-24.3574838299797,QSO,0.452,,,,,,,6.040372396710528,-1.254182713774797,515461292089,271.032509,-24.357372,VVV J180407.80-242126.54,0,-1,14.773,0.003,4112,14.161,0.004,4112,13.357,0.003,4112,12.706,0.004,4112,12.464,0.006,4112,0.401378
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,515440794659,270.997748,-24.206548,VVV J180359.45-241223.57,0,-1,13.794,0.002,16,13.48,0.002,16,13.13,0.002,16,12.562,0.003,16,12.323,0.005,16,0.141556
200088201010594,270.863656699502,-24.2506421434948,STAR,0.714,,,,,,,6.057835094897113,-1.0676589603502726,515461483842,270.863641,-24.250772,VVV J180327.27-241502.77,515396075563,-1,14.316,0.003,16,13.727,0.003,16,13.063,0.002,0,12.565,0.003,0,12.274,0.005,0,0.468585
200088201010631,270.79584449306,-24.531325400415,GALAXY,0.758,,,,,,,5.783034194091473,-1.1519807776548066,515460954060,270.795746,-24.531224,VVV J180310.97-243152.40,0,-1,19.277,0.103,0,18.489,0.103,0,17.506,0.088,0,16.708,0.138,0,16.372,0.207,0,0.488985
200088201010633,271.183514400907,-24.3275500223448,QSO,0.593,,,STAR,1.0,,,6.13394090944978,-1.3594181374821221,515440735354,271.183499,-24.327637,VVV J180444.03-241939.49,0,-1,13.925,0.002,0,13.466,0.002,0,12.797,0.002,16,12.05,0.002,0,11.6,0.003,0,0.318273
200088201010645,271.090850906506,-24.2739026768603,QSO,0.592,,,STAR,1.0,,,6.139311822928618,-1.25951033140721,515440626071,271.090968,-24.273899,VVV J180421.83-241626.03,0,-1,13.562,0.002,0,13.152,0.002,0,12.527,0.001,16,11.793,0.002,65536,11.218,0.002,65536,0.385838
